event,time,src,dst,packetName,srcPort,dstPort,pktLen
1622,24.2343,10.1.0.21,10.1.0.42,normal,9001,9002,100
1623,24.2348,10.1.0.11,10.1.0.42,attack,9003,9002,100
1624,24.2352,10.1.0.11,10.1.0.42,attack,9003,9002,100
1625,24.2364,10.1.0.11,10.1.0.42,attack,9003,9002,100
1626,24.2367,10.1.0.11,10.1.0.42,attack,9003,9002,100
1627,24.2388,10.1.0.11,10.1.0.42,attack,9003,9002,100
1628,24.2617,10.1.0.2,10.1.0.42,normal,9001,9002,100
1629,24.3021,10.1.0.11,10.1.0.42,attack,9003,9002,100
1630,24.3025,10.1.0.21,10.1.0.42,attack,9003,9002,100
1631,24.3028,10.1.0.21,10.1.0.42,attack,9003,9002,100
1632,24.3032,10.1.0.21,10.1.0.42,attack,9003,9002,100
1633,24.3036,10.1.0.21,10.1.0.42,attack,9003,9002,100
1634,24.3039,10.1.0.21,10.1.0.42,attack,9003,9002,100
1635,24.3052,10.1.0.21,10.1.0.42,attack,9003,9002,100
1636,24.3055,10.1.0.11,10.1.0.42,attack,9003,9002,100
1637,24.3059,10.1.0.21,10.1.0.42,attack,9003,9002,100
1638,24.3072,10.1.0.11,10.1.0.42,attack,9003,9002,100
1639,24.3075,10.1.0.21,10.1.0.42,attack,9003,9002,100
1640,24.3084,10.1.0.11,10.1.0.42,attack,9003,9002,100
1641,24.309,10.1.0.21,10.1.0.42,attack,9003,9002,100
1642,24.3095,10.1.0.11,10.1.0.42,attack,9003,9002,100
1643,24.3099,10.1.0.21,10.1.0.42,attack,9003,9002,100
1644,24.3109,10.1.0.21,10.1.0.42,attack,9003,9002,100
1645,24.3113,10.1.0.21,10.1.0.42,attack,9003,9002,100
1646,24.3116,10.1.0.21,10.1.0.42,attack,9003,9002,100
1647,24.313,10.1.0.21,10.1.0.42,attack,9003,9002,100
1648,24.3133,10.1.0.11,10.1.0.42,attack,9003,9002,100
1649,24.3143,10.1.0.11,10.1.0.42,attack,9003,9002,100
