event,time,src,dst,packetName,srcPort,dstPort,pktLen
3610,30.8446,10.1.0.31,10.1.0.42,attack,9003,9002,100
3611,30.8489,10.1.0.31,10.1.0.42,attack,9003,9002,100
3612,30.8553,10.1.0.14,10.1.0.42,normal,9001,9002,100
3613,30.8567,10.1.0.31,10.1.0.42,attack,9003,9002,100
3614,30.8717,10.1.0.31,10.1.0.42,attack,9003,9002,100
3615,30.8726,10.1.0.31,10.1.0.42,attack,9003,9002,100
3616,30.8736,10.1.0.31,10.1.0.42,attack,9003,9002,100
3617,30.875,10.1.0.31,10.1.0.42,attack,9003,9002,100
3618,30.8795,10.1.0.31,10.1.0.42,attack,9003,9002,100
3619,30.8815,10.1.0.31,10.1.0.42,attack,9003,9002,100
3620,30.8826,10.1.0.31,10.1.0.42,attack,9003,9002,100
3621,30.8835,10.1.0.31,10.1.0.42,attack,9003,9002,100
3622,30.8845,10.1.0.31,10.1.0.42,attack,9003,9002,100
3623,30.8874,10.1.0.31,10.1.0.42,attack,9003,9002,100
3624,30.8888,10.1.0.31,10.1.0.42,attack,9003,9002,100
3625,30.8914,10.1.0.31,10.1.0.42,attack,9003,9002,100
3626,30.8927,10.1.0.31,10.1.0.42,attack,9003,9002,100
3627,30.8944,10.1.0.31,10.1.0.42,attack,9003,9002,100
3628,30.8957,10.1.0.31,10.1.0.42,attack,9003,9002,100
3629,30.897,10.1.0.31,10.1.0.42,attack,9003,9002,100
3630,30.8984,10.1.0.31,10.1.0.42,attack,9003,9002,100
3631,30.9,10.1.0.31,10.1.0.42,attack,9003,9002,100
3632,30.9004,10.1.0.1,10.1.0.42,attack,9003,9002,100
3633,30.9006,10.1.0.3,10.1.0.42,normal,9001,9002,100
3634,30.9015,10.1.0.1,10.1.0.42,attack,9003,9002,100
3635,30.902,10.1.0.1,10.1.0.42,attack,9003,9002,100
3636,30.9025,10.1.0.1,10.1.0.42,attack,9003,9002,100
3637,30.9028,10.1.0.1,10.1.0.42,attack,9003,9002,100
3638,30.9032,10.1.0.1,10.1.0.42,attack,9003,9002,100
3639,30.9035,10.1.0.1,10.1.0.42,attack,9003,9002,100
3640,30.9039,10.1.0.1,10.1.0.42,attack,9003,9002,100
3641,30.9042,10.1.0.1,10.1.0.42,attack,9003,9002,100
3642,30.9047,10.1.0.1,10.1.0.42,attack,9003,9002,100
3643,30.9051,10.1.0.1,10.1.0.42,attack,9003,9002,100
3644,30.9056,10.1.0.1,10.1.0.42,attack,9003,9002,100
3645,30.9059,10.1.0.1,10.1.0.42,attack,9003,9002,100
3646,30.9063,10.1.0.1,10.1.0.42,attack,9003,9002,100
3647,30.9066,10.1.0.1,10.1.0.42,attack,9003,9002,100
3648,30.9069,10.1.0.33,10.1.0.42,normal,9001,9002,100
3649,30.9072,10.1.0.1,10.1.0.42,attack,9003,9002,100
3650,30.9076,10.1.0.1,10.1.0.42,attack,9003,9002,100
3651,30.9088,10.1.0.1,10.1.0.42,attack,9003,9002,100
3652,30.9093,10.1.0.1,10.1.0.42,attack,9003,9002,100
3653,30.9096,10.1.0.1,10.1.0.42,attack,9003,9002,100
3654,30.9101,10.1.0.1,10.1.0.42,attack,9003,9002,100
3655,30.9104,10.1.0.1,10.1.0.42,attack,9003,9002,100
3656,30.9108,10.1.0.1,10.1.0.42,attack,9003,9002,100
